Key,English,Russian
statham_0,"Who doesn't fall, never stands up.","Кто не падает, тот не встает."
statham_1,The body accomplishes what the mind believes.,"Тело достигает того, во что верит разум."
statham_2,Don't stop when you're tired. Stop when you're done.,"Не останавливайся, когда ты устал. Останавливайся, когда закончишь."
statham_3,"Great things are accomplished not by force, but by perseverance.","Великие дела совершаются не силой, а упорством."
statham_4,"If you're not willing to labor, then you're willing to lose.","Если ты не готов трудиться, значит, ты готов проиграть."
statham_5,Nothing is as debilitating and destructive to the human body as physical inactivity.,"Ничто так не истощает и не разрушает человеческий организм, как физическое бездействие."
statham_6,It doesn't matter how slow you're going. What matters is that you don't stop.,"Неважно, как медленно ты продвигаешься. Главное – ты не останавливаешься."
statham_7,Strength of spirit crushes any muscle power!,Сила духа разбивает любую силу мыщц!
statham_8,Your biggest opponent is yourself.,Твой главный соперник - это ты сам.
statham_9,"If you feel like giving up, remember what you've been holding on to all this time.",Если ты чувствуешь что сдаешься – вспомни ради чего ты держался всё это время.
statham_10,Those who think they don't have time to exercise will sooner or later find time to get sick.,"Те, кто думает, что у них нет времени для физических упражнений, рано или поздно найдут время для болезни."
statham_11,"If a person gets up after a fall, it's not physics, it's character.","Если человек встает после падения, это не физика, это характер."
statham_12,The ability to overcome yourself is without a doubt the most valuable attribute of sport.,"Возможность преодолеть себя — без сомнений, самое ценное свойство спорта."
statham_13,The pain you overcome today will turn into the strength you feel tomorrow.,"Боль, которую ты преодолеваешь сегодня, превратится в силу, которую ты почувствуешь завтра."
statham_14,Never lose patience - it's the last key that opens doors.,"Никогда не теряй терпения — это последний ключ, открывающий двери."
statham_15,Every time you skip a workout - you miss a beat at the most crucial time.,Каждый раз пропуская тренировку — вы пропускаете удар в самый ответственный момент.
statham_16,Exercise is a battery that needs to be constantly recharged.,"Тренировка — это аккумулятор, который необходимо постоянно заряжать."
statham_17,"Sports don't build character, they reveal it.","Спорт не воспитывает характер, а выявляет его."
statham_18,"If you're not going to follow through, why are you even doing it?","Если ты не собираешься идти до конца, зачем ты вообще это делаешь?"
statham_19,Many things seem impossible until you do them.,"Многие вещи кажутся невыполнимыми до тех пор, пока их не сделаешь."
statham_20,"Life is not only about wrestling, but other sports as well.","Жизнь — это не только борьба, но и другие виды спорта."
